id,text,persian,verse,surah,surahName,section,part,prostration,cut_off_letters,page
"1151","وَالَّذِینَ تَدْعُونَ مِن دُونِهِ لَا یَسْتَطِیعُونَ نَصْرَکُمْ وَلَا أَنفُسَهُمْ یَنصُرُون","و کسانی‌ ‌را‌ ‌که‌ ‌به‌ جای‌ ‌او‌ می‌خوانید، نه‌ می‌توانند ‌شما‌ ‌را‌ نصرت‌ دهند و نه‌ خودشان‌ ‌را‌ یاری‌ کنند","197","7","الأعراف","35","9","","","176"
"1152","وَإِن تَدْعُوهُمْ إِلَى الْهُدَى لَا یَسْمَعُوا وَتَرَاهُمْ یَنظُرُونَ إِلَیْکَ وَهُمْ لَا یُبْصِرُون","و ‌اگر‌ ‌آنها‌ ‌را‌ ‌به‌ هدایت‌ بخوانید نمی‌شنوند، و می‌بینی‌ [مانند مجسمه‌] ‌به‌ سوی‌ تو می‌نگرند ولی‌ نمی‌بینند","198","7","الأعراف","35","9","","","176"
"1153","خُذِ الْعَفْوَ وَأْمُرْ بِالْعُرْفِ وَأَعْرِضْ عَنِ الْجَاهِلِین","عفو ‌را‌ پیشه‌ کن‌ و ‌به‌ نیکی‌ فرمان‌ ده‌ و ‌از‌ نادان‌ها رخ‌ برتاب","199","7","الأعراف","35","9","","","176"
"1154","وَإِمَّا یَنزَغَنَّکَ مِنَ الشَّیْطَانِ نَزْغٌ فَاسْتَعِذْ بِاللَّهِ إِنَّهُ سَمِیعٌ عَلِیم","و ‌اگر‌ ‌از‌ شیطان‌ وسوسه‌ای‌ تو ‌را‌ برانگیخت‌، ‌به‌ خداوند پناه‌ ببر [‌که‌] بی‌شک‌ ‌او‌ شنوای‌ داناست","200","7","الأعراف","35","9","","","176"
"1155","إِنَّ الَّذِینَ اتَّقَوْا إِذَا مَسَّهُمْ طَائِفٌ مِّنَ الشَّیْطَانِ تَذَکَّرُوا فَإِذَا هُم مُّبْصِرُون","البته‌، هنگامی‌ ‌که‌ پرهیزکاران‌ گرفتار وسوسه شیطانی‌ شوند ‌به‌ یاد [‌خدا‌] می‌افتند و ناگهان‌ بینا و بصیر می‌شوند","201","7","الأعراف","35","9","","","176"
"1156","وَإِخْوَانُهُمْ یَمُدُّونَهُمْ فِی الْغَیِّ ثُمَّ لَا یُقْصِرُون","و [اما مشرکان‌] برادرانشان‌ [‌از‌ شیاطین‌] ‌آنها‌ ‌را‌ ‌به‌ ضلالت‌ می‌کشانند و هیچ‌ کوتاهی‌ نمی‌کنند","202","7","الأعراف","35","9","","","176"
"1157","وَإِذَا لَمْ تَأْتِهِم بِآیَةٍ قَالُوا لَوْلَا اجْتَبَیْتَهَا قُلْ إِنَّمَا أَتَّبِعُ مَا یُوحَى إِلَیَّ مِن رَّبِّی هَذَا بَصَائِرُ مِن رَّبِّکُمْ وَهُدًى وَرَحْمَةٌ لِّقَوْمٍ یُؤْمِنُون","و هرگاه‌ ‌برای‌ آنان‌ آیه‌ای‌ نیاوری‌، گویند: چرا [‌از‌ پیش‌ ‌خود‌] ‌آن‌ ‌را‌ برنگزیدی‌! بگو: ‌من‌ فقط ‌از‌ چیزی‌ پیروی‌ می‌کنم‌ ‌که‌ ‌از‌ پروردگارم‌ ‌به‌ ‌من‌ وحی‌ می‌شود ‌این‌ [قرآن‌] روشنگری‌هایی‌ ‌از‌ پروردگار ‌شما‌ ‌است‌ و هدایت‌ و رحمتی‌ ‌است‌ ‌برای‌ قومی‌ ‌که‌ ایمان‌ می‌آورند","203","7","الأعراف","35","9","","","176"
"1158","وَإِذَا قُرِئَ الْقُرْآنُ فَاسْتَمِعُوا لَهُ وَأَنصِتُوا لَعَلَّکُمْ تُرْحَمُون","و چون‌ قرآن‌ خوانده‌ شود، ‌به‌ ‌آن‌ گوش‌ [جان‌] بسپارید و خاموش‌ باشید ‌تا‌ مشمول‌ رحمت‌ شوید","204","7","الأعراف","35","9","","","176"
"1159","وَاذْکُر رَّبَّکَ فِی نَفْسِکَ تَضَرُّعًا وَخِیفَةً وَدُونَ الْجَهْرِ مِنَ الْقَوْلِ بِالْغُدُوِّ وَالْآصَالِ وَلَا تَکُن مِّنَ الْغَافِلِین","و پروردگار خویش‌ ‌را‌ ‌در‌ ضمیر ‌خود‌ و ‌به‌ آرامی‌ ‌هر‌ صبح‌ و شام‌ ‌با‌ خوف‌ و زاری‌ یاد کن‌ و ‌از‌ غافلان‌ مباش","205","7","الأعراف","35","9","","","176"
"1160","إِنَّ الَّذِینَ عِندَ رَبِّکَ لَا یَسْتَکْبِرُونَ عَنْ عِبَادَتِهِ وَیُسَبِّحُونَهُ وَلَهُ یَسْجُدُون","به‌ یقین‌، کسانی‌ ‌که‌ نزد پروردگار تو [و ‌در‌ مقام‌ قرب‌ معنوی‌] هستند ‌از‌ بندگی‌ ‌او‌ سر نتابند و تسبیحش‌ گویند و ‌برای‌ ‌او‌ سجده‌ کنند","206","7","الأعراف","35","9","true","","176"
"1161","یَسْأَلُونَکَ عَنِ الْأَنفَالِ قُلِ الْأَنفَالُ لِلَّهِ وَالرَّسُولِ فَاتَّقُوا اللَّهَ وَأَصْلِحُوا ذَاتَ بَیْنِکُمْ وَأَطِیعُوا اللَّهَ وَرَسُولَهُ إِن کُنتُم مُّؤْمِنِین","از‌ تو ‌در‌ باره‌ی‌ غنیمت‌ها می‌پرسند، بگو: غنیمت‌ها ‌از‌ ‌آن‌ ‌خدا‌ و ‌رسول‌ ‌است‌ ‌پس‌ ‌از‌ ‌خدا‌ پروا دارید و روابط ‌خود‌ ‌را‌ اصلاح‌ کنید و ‌از‌ ‌خدا‌ و رسولش‌ اطاعت‌ کنید ‌اگر‌ مؤمن‌ هستید","1","8","الأنفال","36","9","","","177"
"1162","إِنَّمَا الْمُؤْمِنُونَ الَّذِینَ إِذَا ذُکِرَ اللَّهُ وَجِلَتْ قُلُوبُهُمْ وَإِذَا تُلِیَتْ عَلَیْهِمْ آیَاتُهُ زَادَتْهُمْ إِیمَانًا وَعَلَى رَبِّهِمْ یَتَوَکَّلُون","مؤمنان‌ فقط ‌آن‌ کسانند ‌که‌ چون‌ یاد ‌خدا‌ شود دل‌هایشان‌ ترسان‌ شود و چون‌ آیات‌ ‌او‌ ‌بر‌ ‌آنها‌ تلاوت‌ شود ایمانشان‌ ‌را‌ بیفزاید و ‌بر‌ خدای‌ خویش‌ توکل‌ کنند","2","8","الأنفال","36","9","","","177"
"1163","الَّذِینَ یُقِیمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ یُنفِقُون","همانان‌ ‌که‌ نماز ‌را‌ برپا دارند و ‌از‌ آنچه‌ روزیشان‌ داده‌ایم‌ انفاق‌ کنند","3","8","الأنفال","36","9","","","177"
"1164","أُولَئِکَ هُمُ الْمُؤْمِنُونَ حَقًّا لَّهُمْ دَرَجَاتٌ عِندَ رَبِّهِمْ وَمَغْفِرَةٌ وَرِزْقٌ کَرِیم","آنها‌ مؤمن‌ حقیقی‌ هستند، و ‌ایشان‌ ‌را‌ نزد پروردگارشان‌ منزلت‌ها و آمرزش‌ و روزی‌ کریمانه‌ ‌است","4","8","الأنفال","36","9","","","177"
"1165","کَمَا أَخْرَجَکَ رَبُّکَ مِن بَیْتِکَ بِالْحَقِّ وَإِنَّ فَرِیقًا مِّنَ الْمُؤْمِنِینَ لَکَارِهُون","همان‌ گونه‌ ‌که‌ پروردگارت‌ تو ‌را‌ [‌برای‌ جنگ‌ بدر] ‌به‌ حق‌ ‌از‌ خانه‌ات‌ بیرون‌ فرستاد ولی‌ گروهی‌ ‌از‌ مؤمنان‌ ‌به‌ شدت‌ کراهت‌ داشتند","5","8","الأنفال","36","9","","","177"
"1166","یُجَادِلُونَکَ فِی الْحَقِّ بَعْدَمَا تَبَیَّنَ کَأَنَّمَا یُسَاقُونَ إِلَى الْمَوْتِ وَهُمْ یَنظُرُون","آنها‌ ‌پس‌ ‌از‌ روشن‌ شدن‌ حق‌ [و ضرورت‌ جهاد] باز ‌با‌ تو ‌در‌ باره ‌آن‌ مجادله‌ می‌کنند گویی‌ ‌به‌ سوی‌ مرگ‌ رانده‌ می‌شوند و ‌خود‌ می‌نگرند","6","8","الأنفال","36","9","","","177"
"1167","وَإِذْ یَعِدُکُمُ اللَّهُ إِحْدَى الطَّائِفَتَیْنِ أَنَّهَا لَکُمْ وَتَوَدُّونَ أَنَّ غَیْرَ ذَاتِ الشَّوْکَةِ تَکُونُ لَکُمْ وَیُرِیدُ اللَّهُ أَن یُحِقَّ الْحَقَّ بِکَلِمَاتِهِ وَیَقْطَعَ دَابِرَ الْکَافِرِین","و [فراموش‌ نکنید] ‌آن‌ زمان‌ ‌را‌ ‌که‌ خداوند ‌به‌ ‌شما‌ وعده‌ می‌داد ‌که‌ یکی‌ ‌از‌ ‌آن‌ دو گروه‌ نصیب‌ شماست‌، ولی‌ ‌شما‌ دوست‌ داشتید [کاروان‌] ‌غیر‌ مسلح‌ نصیب‌ ‌شما‌ گردد، و ‌خدا‌ می‌خواست‌ ‌که‌ ‌با‌ سخنان‌ خویش‌ حق‌ ‌را‌ پایدار سازد و ریشه کافران‌ ‌را‌ برکند","7","8","الأنفال","36","9","","","177"
"1168","لِیُحِقَّ الْحَقَّ وَیُبْطِلَ الْبَاطِلَ وَلَوْ کَرِهَ الْمُجْرِمُون","تا‌ حق‌ ‌را‌ تثبیت‌ کند و باطل‌ ‌را‌ زایل‌ گرداند، ‌هر‌ چند مجرمان‌ خوش‌ نداشته‌ باشند","8","8","الأنفال","36","9","","","177"
"1169","إِذْ تَسْتَغِیثُونَ رَبَّکُمْ فَاسْتَجَابَ لَکُمْ أَنِّی مُمِدُّکُم بِأَلْفٍ مِّنَ الْمَلَائِکَةِ مُرْدِفِین","یاد آورید] هنگامی‌ ‌را‌ ‌که‌ ‌از‌ خدای‌ ‌خود‌ کمک‌ می‌خواستید، ‌پس‌ ‌او‌ دعای‌ ‌شما‌ ‌را‌ اجابت‌ کرد ‌که‌ ‌من‌ ‌با‌ هزار فرشته‌ ‌که‌ ‌از‌ پی‌ یکدیگر ‌در‌ آیند مددکار شمایم","9","8","الأنفال","36","9","","","178"
"1170","وَمَا جَعَلَهُ اللَّهُ إِلَّا بُشْرَى وَلِتَطْمَئِنَّ بِهِ قُلُوبُکُمْ وَمَا النَّصْرُ إِلَّا مِنْ عِندِ اللَّهِ إِنَّ اللَّهَ عَزِیزٌ حَکِیم","و خداوند ‌آن‌ ‌را‌ جز بشارتی‌ ‌برای‌ ‌شما‌ قرار نداد، ‌تا‌ دل‌های‌ ‌شما‌ ‌به‌ ‌آن‌ اطمینان‌ یابد، و نصرت‌ و پیروزی‌ تنها ‌از‌ جانب‌ خداست‌ [و] مسلما خداوند شکست‌ناپذیر حکیم‌ ‌است","10","8","الأنفال","36","9","","","178"
"1171","إِذْ یُغَشِّیکُمُ النُّعَاسَ أَمَنَةً مِّنْهُ وَیُنَزِّلُ عَلَیْکُم مِّنَ السَّمَاءِ مَاءً لِّیُطَهِّرَکُم بِهِ وَیُذْهِبَ عَنکُمْ رِجْزَ الشَّیْطَانِ وَلِیَرْبِطَ عَلَى قُلُوبِکُمْ وَیُثَبِّتَ بِهِ الْأَقْدَام","و آن‌گاه‌ ‌که‌ ‌شما‌ ‌را‌ بدان‌ خواب‌ سبک‌ ‌که‌ امانی‌ ‌از‌ جانب‌ وی‌ ‌بود‌ فرو می‌پوشانید، و ‌از‌ آسمان‌ بارانی‌ ‌بر‌ ‌شما‌ می‌فرستاد ‌که‌ ‌با‌ ‌آن‌ پاکتان‌ کند و آلودگی‌ شیطان‌ ‌را‌ ‌از‌ ‌شما‌ بزداید و دل‌هایتان‌ ‌را‌ محکم‌ و گام‌هایتان‌ ‌را‌ بدان‌ استوار سازد","11","8","الأنفال","36","9","","","178"
"1172","إِذْ یُوحِی رَبُّکَ إِلَى الْمَلَائِکَةِ أَنِّی مَعَکُمْ فَثَبِّتُوا الَّذِینَ آمَنُوا سَأُلْقِی فِی قُلُوبِ الَّذِینَ کَفَرُوا الرُّعْبَ فَاضْرِبُوا فَوْقَ الْأَعْنَاقِ وَاضْرِبُوا مِنْهُمْ کُلَّ بَنَان","آن‌گاه‌ ‌که‌ پروردگارت‌ ‌به‌ فرشتگان‌ وحی‌ می‌کرد ‌که‌ ‌من‌ ‌با‌ شمایم‌، ‌پس‌ مؤمنان‌ ‌را‌ مقاومت‌ بخشید ‌به‌ زودی‌ ‌در‌ دل‌های‌ کافران‌ هراس‌ خواهم‌ افکند، و فراز گردن‌ها [یشان‌] ‌را‌ بزنید و سر انگشتانشان‌ ‌را‌ قطع‌ کنید","12","8","الأنفال","36","9","","","178"
"1173","ذَلِکَ بِأَنَّهُمْ شَاقُّوا اللَّهَ وَرَسُولَهُ وَمَن یُشَاقِقِ اللَّهَ وَرَسُولَهُ فَإِنَّ اللَّهَ شَدِیدُ الْعِقَاب","این‌ ‌از‌ ‌آن‌ روست‌ ‌که‌ ‌آنها‌ ‌با‌ ‌خدا‌ و ‌رسول‌ ‌او‌ ‌به‌ مخالفت‌ برخاستند، و ‌هر‌ ‌که‌ ‌با‌ ‌خدا‌ و رسولش‌ ‌به‌ مخالفت‌ برخیزد مسلما خداوند سخت‌ کیفر ‌است","13","8","الأنفال","36","9","","","178"
"1174","ذَلِکُمْ فَذُوقُوهُ وَأَنَّ لِلْکَافِرِینَ عَذَابَ النَّار","اینها [عقوبت‌] ‌است‌ ‌پس‌ ‌آن‌ ‌را‌ بچشید و [بدانید] ‌که‌ ‌برای‌ کافران‌ عذاب‌ آتش‌ ‌است","14","8","الأنفال","36","9","","","178"
"1175","یَا أَیُّهَا الَّذِینَ آمَنُوا إِذَا لَقِیتُمُ الَّذِینَ کَفَرُوا زَحْفًا فَلَا تُوَلُّوهُمُ الْأَدْبَار","ای‌ مؤمنان‌! هنگامی‌ ‌که‌ ‌با‌ انبوه‌ کافران‌ رو ‌به‌ رو شدید، هرگز ‌به‌ ‌آنها‌ پشت‌ نکنید","15","8","الأنفال","36","9","","","178"
"1176","وَمَن یُوَلِّهِمْ یَوْمَئِذٍ دُبُرَهُ إِلَّا مُتَحَرِّفًا لِّقِتَالٍ أَوْ مُتَحَیِّزًا إِلَى فِئَةٍ فَقَدْ بَاءَ بِغَضَبٍ مِّنَ اللَّهِ وَمَأْوَاهُ جَهَنَّمُ وَبِئْسَ الْمَصِیر","و ‌هر‌ کس‌ ‌در‌ ‌آن‌ هنگام‌ ‌به‌ آنان‌ پشت‌ کند‌-‌ مگر ‌آن‌ ‌که‌ ‌با‌ هدف‌ کناره‌جویی‌ ‌برای‌ نبرد مجدد ‌ یا ‌ پیوستن‌ ‌به‌ گروه‌ [خودی‌] ‌باشد‌‌-‌ [چنین‌ کسی‌] قطعا ‌به‌ خشم‌ الهی‌ گرفتار گشته‌ و جایگاه‌ ‌او‌ دوزخ‌ ‌است‌ و بد سرنوشتی‌ ‌است","16","8","الأنفال","36","9","","","178"
"1177","فَلَمْ تَقْتُلُوهُمْ وَلَکِنَّ اللَّهَ قَتَلَهُمْ وَمَا رَمَیْتَ إِذْ رَمَیْتَ وَلَکِنَّ اللَّهَ رَمَى وَلِیُبْلِیَ الْمُؤْمِنِینَ مِنْهُ بَلَاءً حَسَنًا إِنَّ اللَّهَ سَمِیعٌ عَلِیم","این‌ ‌شما‌ نبودید ‌که‌ ‌آنها‌ ‌را‌ کشتید بلکه‌ خداوند ‌آنها‌ ‌را‌ کشت‌، و وقتی‌ [ریگ‌ها ‌را‌] انداختی‌ ‌این‌ تو نبودی‌ ‌که‌ انداختی‌ بلکه‌ ‌خدا‌ ‌بود‌ ‌که‌ انداخت‌، ‌تا‌ مؤمنان‌ ‌را‌ بدین‌ وسیله‌ ‌به‌ امتحان‌ خوبی‌ ‌از‌ جانب‌ ‌خود‌ بیازماید همانا خداوند شنوای‌ داناست","17","8","الأنفال","36","9","","","179"
"1178","ذَلِکُمْ وَأَنَّ اللَّهَ مُوهِنُ کَیْدِ الْکَافِرِین","دلیلش‌] ‌این‌ ‌بود‌، و ‌این‌ ‌که‌ خداوند سست‌ کننده‌ی‌ نقشه کافران‌ ‌است","18","8","الأنفال","36","9","","","179"
"1179","إِن تَسْتَفْتِحُوا فَقَدْ جَاءَکُمُ الْفَتْحُ وَإِن تَنتَهُوا فَهُوَ خَیْرٌ لَّکُمْ وَإِن تَعُودُوا نَعُدْ وَلَن تُغْنِیَ عَنکُمْ فِئَتُکُمْ شَیْئًا وَلَوْ کَثُرَتْ وَأَنَّ اللَّهَ مَعَ الْمُؤْمِنِین","ای‌ مشرکان‌!] ‌اگر‌ پیروزی‌ می‌خواهید، اینک‌ پیروزی‌ ‌به‌ سراغ‌ ‌شما‌ آمده‌ [و اسلام‌ پیروز ‌شده‌ ‌است‌ نه‌ ‌شما‌] و ‌اگر‌ [‌از‌ کفر] باز ایستید همان‌ ‌برای‌ ‌شما‌ بهتر ‌است‌، و ‌اگر‌ باز گردید [‌ما ‌هم‌] باز می‌گردیم‌ و سپاه‌ ‌شما‌ ‌هر‌ چند انبوه‌ ‌باشد‌، هرگز ‌از‌ هیچ‌ جهت‌ ‌شما‌ ‌را‌ بی‌نیاز نمی‌کند و البته‌ ‌خدا‌ ‌با‌ مؤمنان‌ ‌است","19","8","الأنفال","36","9","","","179"
"1180","یَا أَیُّهَا الَّذِینَ آمَنُوا أَطِیعُوا اللَّهَ وَرَسُولَهُ وَلَا تَوَلَّوْا عَنْهُ وَأَنتُمْ تَسْمَعُون","ای‌ مؤمنان‌! ‌از‌ ‌خدا‌ و ‌رسول‌ ‌او‌ اطاعت‌ کنید و ‌از‌ ‌او‌ روی‌ نگردانید ‌در‌ حالی‌ ‌که‌ [سخنان‌ ‌او‌ ‌را‌] می‌شنوید","20","8","الأنفال","36","9","","","179"
"1181","وَلَا تَکُونُوا کَالَّذِینَ قَالُوا سَمِعْنَا وَهُمْ لَا یَسْمَعُون","و مانند کسانی‌ نباشید ‌که‌ گفتند شنیدیم‌ ولی‌ نمی‌شنیدند","21","8","الأنفال","36","9","","","179"
"1182","إِنَّ شَرَّ الدَّوَابِّ عِندَ اللَّهِ الصُّمُّ الْبُکْمُ الَّذِینَ لَا یَعْقِلُون","به‌ راستی‌ بدترین‌ جنبندگان‌ نزد خداوند ناشنوایان‌ گنگی‌ هستند ‌که‌ تعقل‌ نمی‌کنند","22","8","الأنفال","36","9","","","179"
"1183","وَلَوْ عَلِمَ اللَّهُ فِیهِمْ خَیْرًا لَّأَسْمَعَهُمْ وَلَوْ أَسْمَعَهُمْ لَتَوَلَّوا وَّهُم مُّعْرِضُون","و ‌اگر‌ خداوند خیری‌ ‌در‌ ‌آنها‌ سراغ‌ داشت‌ گوششان‌ ‌را‌ شنوا می‌کرد، و ‌اگر‌ ‌هم‌ شنوا می‌کرد باز ‌با‌ حال‌ اعراض‌ پشت‌ می‌کردند","23","8","الأنفال","36","9","","","179"
"1184","یَا أَیُّهَا الَّذِینَ آمَنُوا اسْتَجِیبُوا لِلَّهِ وَلِلرَّسُولِ إِذَا دَعَاکُمْ لِمَا یُحْیِیکُمْ وَاعْلَمُوا أَنَّ اللَّهَ یَحُولُ بَیْنَ الْمَرْءِ وَقَلْبِهِ وَأَنَّهُ إِلَیْهِ تُحْشَرُون","ای‌ مؤمنان‌! ندای‌ ‌خدا‌ و پیامبر ‌را‌ آن‌گاه‌ ‌که‌ ‌شما‌ ‌را‌ ‌به‌ پیامی‌ حیاتبخش‌ می‌خواند، اجابت‌ کنید، و بدانید ‌که‌ ‌خدا‌ میان‌ انسان‌ و دل‌ ‌او‌ حایل‌ می‌گردد [و همه‌ چیز ‌را‌ می‌داند] و ‌به‌ حضور ‌او‌ گرد آورده‌ می‌شوید","24","8","الأنفال","36","9","","","179"
"1185","وَاتَّقُوا فِتْنَةً لَّا تُصِیبَنَّ الَّذِینَ ظَلَمُوا مِنکُمْ خَاصَّةً وَاعْلَمُوا أَنَّ اللَّهَ شَدِیدُ الْعِقَاب","و ‌از‌ فتنه‌ای‌ بترسید ‌که‌ تنها دامن‌ ستمگران‌ ‌شما‌ ‌را‌ نمی‌گیرد، و بدانید ‌که‌ خداوند سخت‌ کیفر ‌است","25","8","الأنفال","36","9","","","179"
"1186","وَاذْکُرُوا إِذْ أَنتُمْ قَلِیلٌ مُّسْتَضْعَفُونَ فِی الْأَرْضِ تَخَافُونَ أَن یَتَخَطَّفَکُمُ النَّاسُ فَآوَاکُمْ وَأَیَّدَکُم بِنَصْرِهِ وَرَزَقَکُم مِّنَ الطَّیِّبَاتِ لَعَلَّکُمْ تَشْکُرُون","و [یاد کنید] هنگامی‌ ‌را‌ ‌که‌ ‌در‌ [‌این‌] سرزمین‌ گروهی‌ اندک‌ و مستضعف‌ بودید و بیم‌ ‌آن‌ داشتید ‌که‌ مردم‌ ‌شما‌ ‌را‌ ‌از‌ میان‌ بردارند ولی‌ ‌او‌ ‌شما‌ ‌را‌ پناه‌ داد و ‌به‌ نصرت‌ خویش‌ یاریتان‌ کرد و ‌از‌ نعمت‌های‌ پاکیزه‌ ‌به‌ ‌شما‌ روزی‌ داد، ‌باشد‌ ‌که‌ شاکر باشید","26","8","الأنفال","36","9","","","180"
"1187","یَا أَیُّهَا الَّذِینَ آمَنُوا لَا تَخُونُوا اللَّهَ وَالرَّسُولَ وَتَخُونُوا أَمَانَاتِکُمْ وَأَنتُمْ تَعْلَمُون","ای‌ مؤمنان‌! ‌به‌ ‌خدا‌ و پیامبر خیانت‌ نورزید و دانسته‌ ‌به‌ امانات‌ ‌خود‌ خیانت‌ نکنید","27","8","الأنفال","36","9","","","180"
"1188","وَاعْلَمُوا أَنَّمَا أَمْوَالُکُمْ وَأَوْلَادُکُمْ فِتْنَةٌ وَأَنَّ اللَّهَ عِندَهُ أَجْرٌ عَظِیم","و بدانید ‌که‌ اموال‌ و اولادتان‌ [وسیله] آزمایش‌ ‌است‌ و پاداش‌ بزرگ‌ نزد خداوند ‌است","28","8","الأنفال","36","9","","","180"
"1189","یَا أَیُّهَا الَّذِینَ آمَنُوا إِن تَتَّقُوا اللَّهَ یَجْعَل لَّکُمْ فُرْقَانًا وَیُکَفِّرْ عَنکُمْ سَیِّئَاتِکُمْ وَیَغْفِرْ لَکُمْ وَاللَّهُ ذُو الْفَضْلِ الْعَظِیم","ای‌ مؤمنان‌! ‌اگر‌ ‌از‌ خداوند پروا کنید، ‌برای‌ ‌شما‌ نیروی‌ تشخیص‌ حق‌ ‌از‌ باطل‌ قرار می‌دهد و بدی‌هایتان‌ ‌را‌ می‌پوشاند و ‌شما‌ ‌را‌ می‌آمرزد و خداوند صاحب‌ بخشش‌ بزرگ‌ ‌است","29","8","الأنفال","36","9","","","180"
"1190","وَإِذْ یَمْکُرُ بِکَ الَّذِینَ کَفَرُوا لِیُثْبِتُوکَ أَوْ یَقْتُلُوکَ أَوْ یُخْرِجُوکَ وَیَمْکُرُونَ وَیَمْکُرُ اللَّهُ وَاللَّهُ خَیْرُ الْمَاکِرِین","و [یادآور] وقتی‌ ‌را‌ ‌که‌ کافران‌ ‌در‌ حق‌ تو نیرنگ‌ می‌کردند ‌تا‌ تو ‌را‌ ‌در‌ بند کشند ‌ یا ‌ بکشند ‌ یا ‌ بیرونت‌ کنند، و ‌آنها‌ نیرنگ‌ می‌کردند و ‌خدا‌ ‌هم‌ نیرنگ‌ می‌کرد و خداوند ‌از‌ همه نیرنگ‌ کنندگان‌ ماهرتر ‌است","30","8","الأنفال","36","9","","","180"
"1191","وَإِذَا تُتْلَى عَلَیْهِمْ آیَاتُنَا قَالُوا قَدْ سَمِعْنَا لَوْ نَشَاءُ لَقُلْنَا مِثْلَ هَذَا إِنْ هَذَا إِلَّا أَسَاطِیرُ الْأَوَّلِین","و چون‌ آیات‌ ‌ما ‌بر‌ ‌آنها‌ تلاوت‌ شود می‌گویند: ‌به‌ خوبی‌ شنیدیم‌، ‌اگر‌ می‌خواستیم‌ ‌ما نیز همانند ‌آن‌ ‌را‌ می‌گفتیم‌، ‌این‌ [قرآن‌] جز افسانه‌های‌ پیشینیان‌ نیست","31","8","الأنفال","36","9","","","180"
"1192","وَإِذْ قَالُوا اللَّهُمَّ إِن کَانَ هَذَا هُوَ الْحَقَّ مِنْ عِندِکَ فَأَمْطِرْ عَلَیْنَا حِجَارَةً مِّنَ السَّمَاءِ أَوِ ائْتِنَا بِعَذَابٍ أَلِیم","و [یادآر] هنگامی‌ ‌را‌ ‌که‌ گفتند: پروردگارا! ‌اگر‌ ‌این‌ [کتاب‌] حق‌ و ‌از‌ سوی‌ توست‌، ‌بر‌ ‌ما ‌از‌ آسمان‌ سنگی‌ ببار ‌ یا ‌ ‌ما ‌را‌ عذاب‌ دردناکی‌ بیاور","32","8","الأنفال","36","9","","","180"
"1193","وَمَا کَانَ اللَّهُ لِیُعَذِّبَهُمْ وَأَنتَ فِیهِمْ وَمَا کَانَ اللَّهُ مُعَذِّبَهُمْ وَهُمْ یَسْتَغْفِرُون","و ‌تا‌ تو ‌در‌ میان‌ ‌آنها‌ هستی‌ ‌خدا‌ ‌بر‌ ‌آن‌ نیست‌ ‌که‌ ‌آنها‌ ‌را‌ عذاب‌ کند و ‌تا‌ ‌آنها‌ استغفار می‌کنند ‌خدا‌ عذاب‌ کننده‌ی‌ ‌آنها‌ نیست","33","8","الأنفال","36","9","","","180"
"1194","وَمَا لَهُمْ أَلَّا یُعَذِّبَهُمُ اللَّهُ وَهُمْ یَصُدُّونَ عَنِ الْمَسْجِدِ الْحَرَامِ وَمَا کَانُوا أَوْلِیَاءَهُ إِنْ أَوْلِیَاؤُهُ إِلَّا الْمُتَّقُونَ وَلَکِنَّ أَکْثَرَهُمْ لَا یَعْلَمُون","و چرا ‌خدا‌ عذابشان‌ نکند، ‌در‌ حالی‌ ‌که‌ مردم‌ ‌را‌ ‌از‌ مسجد الحرام‌ باز می‌دارند ‌در‌ صورتی‌ ‌که‌ متولیان‌ ‌آن‌ نبوده‌اند متولیان‌ مسجد جز پارسایان‌ نمی‌باشند ولی‌ اکثر آنان‌ نمی‌فهمند","34","8","الأنفال","36","9","","","181"
"1195","وَمَا کَانَ صَلَاتُهُمْ عِندَ الْبَیْتِ إِلَّا مُکَاءً وَتَصْدِیَةً فَذُوقُوا الْعَذَابَ بِمَا کُنتُمْ تَکْفُرُون","و نماز ‌ایشان‌ ‌در‌ کنار خانه ‌خدا‌ جز سوت‌ کشیدن‌ و کف‌ زدن‌ نبود ‌پس‌ ‌به‌ سزای‌ انکارتان‌ عذاب‌ ‌را‌ بچشید","35","8","الأنفال","36","9","","","181"
"1196","إِنَّ الَّذِینَ کَفَرُوا یُنفِقُونَ أَمْوَالَهُمْ لِیَصُدُّوا عَن سَبِیلِ اللَّهِ فَسَیُنفِقُونَهَا ثُمَّ تَکُونُ عَلَیْهِمْ حَسْرَةً ثُمَّ یُغْلَبُونَ وَالَّذِینَ کَفَرُوا إِلَى جَهَنَّمَ یُحْشَرُون","همانا کافران‌ اموال‌ ‌خود‌ ‌را‌ صرف‌ می‌کنند ‌تا‌ مردم‌ ‌را‌ ‌از‌ راه‌ ‌خدا‌ باز دارند و باز ‌هم‌ [‌در‌ آینده‌] خرج‌ خواهند کرد و عاقبت‌، حسرتی‌ ‌برای‌ آنان‌ خواهد گشت‌ و سر انجام‌ مغلوب‌ می‌شوند و کسانی‌ ‌که‌ کافر شدند ‌به‌ سوی‌ جهنم‌ گردآوری‌ خواهند شد","36","8","الأنفال","36","9","","","181"
